File	Mean_HR_Chan0	Error_HR_Chan0	Mean_HR_Chan1	Error_HR_Chan1	Mean_HR_Chan2	Error_HR_Chan2	Mean_HR_Chan3	Error_HR_Chan3
att030.txt	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	
att050.txt	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	
att070.txt	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	
att090.txt	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	
att110.txt	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	3970.4760	2.2835	
att125.txt	3723.4950	0.1967	3705.3660	0.2228	3783.5360	0.2022	3801.9660	0.2025	
att140.txt	3179.7070	0.2007	3156.2300	0.2249	3242.5990	0.2107	3252.3010	0.2087	
att155.txt	2728.1740	0.2031	2701.4690	0.2335	2795.1910	0.2085	2798.8800	0.2107	
att170.txt	1930.4440	0.2061	1896.5130	0.2436	2000.7280	0.2139	1991.4200	0.2087	
att200.txt	1768.6040	0.2127	1733.3970	0.2507	1839.9520	0.2198	1828.0750	0.2221	
att230.txt	1351.2910	0.2010	1312.6950	0.2384	1424.6770	0.2102	1406.2640	0.2067	
att260.txt	1054.4240	0.2127	1013.1160	0.2587	1129.1580	0.2203	1105.7150	0.2187	
