File	Mean_LR_Chan0	Error_LR_Chan0	Mean_LR_Chan1	Error_LR_Chan1	Mean_LR_Chan2	Error_LR_Chan2	Mean_LR_Chan3	Error_LR_Chan3
att030.txt	1255.0840	0.0658	1256.6740	0.0677	1260.3310	0.0674	1273.4720	0.0700	
att050.txt	1054.2210	0.0253	1054.4140	0.0274	1060.2590	0.0266	1070.4070	0.0272	
att070.txt	841.9490	0.0267	840.5020	0.0287	848.6940	0.0267	855.8080	0.0272	
att090.txt	678.9130	0.0273	676.3210	0.0301	686.2000	0.0285	690.7570	0.0287	
att110.txt	549.1560	0.0281	545.8210	0.0319	557.0850	0.0302	559.4910	0.0300	
att125.txt	468.9490	0.0275	464.9210	0.0313	477.0500	0.0289	478.1790	0.0294	
att140.txt	400.6550	0.0281	395.9070	0.0313	408.7720	0.0290	408.7420	0.0286	
att155.txt	344.0420	0.0281	338.8300	0.0318	352.5300	0.0278	351.7350	0.0288	
att170.txt	243.9700	0.0286	237.7400	0.0334	252.6600	0.0294	250.2150	0.0280	
att200.txt	223.6850	0.0293	217.2500	0.0340	232.4160	0.0297	229.6340	0.0303	
att230.txt	171.3030	0.0278	164.3970	0.0321	180.1570	0.0289	176.5880	0.0280	
att260.txt	134.1270	0.0292	126.8670	0.0343	143.0110	0.0298	138.8100	0.0295	
