File	Mean 1	Error 1	Mean 2	Error 2	Mean 3	Error 3	Mean 4	Error 4
rit000.txt	282.9790	0.0183	282.5730	0.0204	262.2540	0.0190	249.4700	0.0191	
rit040.txt	397.7400	0.0174	399.2380	0.0194	378.1250	0.0185	363.7320	0.0187	
rit080.txt	508.3820	0.0177	511.0690	0.0190	489.1430	0.0169	472.1950	0.0171	
rit120.txt	619.9840	0.0158	623.5060	0.0187	601.4260	0.0175	583.2550	0.0179	
rit160.txt	734.6370	0.0171	739.8300	0.0180	716.5450	0.0170	696.5320	0.0182	
rit200.txt	851.2050	0.0168	857.8390	0.0181	833.9610	0.0162	810.8940	0.0185	
rit220.txt	904.2260	0.0192	911.6670	0.0211	887.1610	0.0192	862.7020	0.0203	
rit240.txt	959.3790	0.0186	967.4580	0.0199	942.5140	0.0190	916.8820	0.0202	
rit260.txt	1014.4650	0.0180	1023.3460	0.0188	998.0270	0.0171	971.4820	0.0183	
rit280.txt	1072.3630	0.0174	1081.9180	0.0194	1056.2470	0.0185	1028.5790	0.0188	
rit300.txt	1125.1260	0.0178	1135.2100	0.0198	1109.2790	0.0171	1080.6520	0.0179	
rit320.txt	1187.5340	0.0185	1198.3350	0.0207	1171.9950	0.0182	1142.2430	0.0196	
rit340.txt	1242.3440	0.0183	1253.8060	0.0205	1227.1530	0.0177	1196.4790	0.0180	
rit360.txt	1300.6690	0.0186	1312.8240	0.0198	1285.8080	0.0193	1254.0550	0.0198	
rit400.txt	1412.2270	0.0171	1425.7680	0.0192	1398.0110	0.0177	1364.3360	0.0192	
rit440.txt	1524.3450	0.0182	1539.2940	0.0204	1510.7420	0.0175	1474.9620	0.0177	
rit480.txt	1638.9540	0.0185	1655.2700	0.0204	1626.0220	0.0181	1588.0890	0.0191	
rit520.txt	1752.0000	0.0167	1769.6320	0.0202	1739.6530	0.0174	1699.5650	0.0183	
